simTime,realTime,result,prediction,deltaT,payload
28.541,13.5185,0.0159028,9.4038,10,0.5
28.649,13.6031,0.0232029,6.02513,10,0.5
28.749,13.6835,0.0429221,8.4102,10,0.5
28.867,13.7759,0.282965,9.4038,10,0.5
37.183,17.7255,6.0241,9.5432,10,0.5
47.241,22.523,3.5461,9.2178,10,0.5
57.25,27.1954,3.33333,8.76713,10,0.5
67.256,31.8943,3.20513,9.226,10,0.5
77.221,36.6641,4.13223,9.14713,10,0.5
87.145,41.5637,11.1111,10.9216,10,0.5
97.146,46.276,10.8696,10.9216,10,0.5
107.145,51.1625,11.1111,10.9216,10,0.5
117.146,55.9502,10.8696,10.9216,10,0.5
127.145,60.7118,11.1111,10.0716,10,0.5
137.212,65.3846,4.46429,9.3048,10,0.5
147.193,70.0354,5.37634,8.5838,10,0.5
157.228,74.8296,3.90625,9.3288,10,0.5
167.312,79.6506,2.35849,9.5398,10,0.5
177.314,84.4652,2.33645,6.153,10,0.5
187.321,89.1953,2.26244,6.153,10,0.5
197.323,93.8925,2.24215,8.3862,10,0.5
207.172,98.4434,6.94444,8.6108,10,0.5
217.173,103.062,6.84932,9.12183,10,0.5
227.145,107.629,11.1111,10.9216,10,0.5
237.145,112.186,11.1111,10.9216,10,0.5
247.145,116.843,11.1111,10.9216,10,0.5
257.145,121.492,11.1111,10.9216,10,0.5
267.144,126.193,11.3636,8.6028,10,0.5
277.145,130.846,11.1111,10.9216,10,0.5
287.145,135.465,11.1111,10.9216,10,0.5
297.164,140.169,7.8125,9.576,10,0.5
307.193,144.86,5.37634,9.3048,10,0.5
317.179,149.452,6.32911,8.5838,10,0.5
327.205,154.366,4.7619,9.3288,10,0.5
400.468,188.564,0.00789042,7.2464,10,0.5
400.596,188.684,0.00934649,6.477,10,0.5
400.668,188.747,0.0114763,6.6914,10,0.5
400.744,188.824,0.0148615,6.6214,10,0.5
400.807,188.878,0.0210908,5.01858,10,0.5
400.883,188.942,0.0362766,5.84033,10,0.5
400.956,189.006,0.129668,6.03367,10,0.5
407.152,191.899,9.61538,10.696,10,0.5
417.153,196.638,9.43396,10.696,10,0.5
427.187,201.358,5.74713,6.34067,10,0.5
437.237,206.039,3.64964,5.66533,10,0.5
470.944,222.135,0.0209696,4.51975,10,0.5
472.062,222.83,0.033418,5.01858,10,0.5
472.478,223.125,0.0929714,5.29158,10,0.5
477.618,225.573,0.965251,6.477,10,0.5
487.398,230.156,1.67785,6.98967,10,0.5
497.241,234.828,3.5461,11.3245,10,0.5
507.372,239.755,1.83824,8.17667,10,0.5
517.56,244.543,1.08696,6.98967,10,0.5
542.55,256.254,0.0323625,5.29158,10,0.5
542.657,256.343,0.0899766,4.51975,10,0.5
547.213,258.532,4.42478,5.29158,10,0.5
557.182,263.21,6.09756,5.64625,10,0.5
567.155,267.961,9.09091,6.20787,10,0.5
577.17,272.723,7.14286,6.60513,10,0.5
587.174,277.349,6.75676,5.15838,10,0.5
597.195,282.152,5.26316,5.93238,10,0.5
607.339,287.062,2.09205,6.20138,10,0.5
617.233,291.724,3.7594,7.39013,10,0.5
627.201,296.462,4.9505,9.0442,10,0.5
637.176,301.17,6.57895,9.4038,10,0.5
647.208,306.06,4.62963,8.76713,10,0.5
657.189,310.813,5.61798,8.133,10,0.5
667.17,315.66,7.14286,9.16233,10,0.5
677.146,320.282,10.8696,10.0716,10,0.5
687.146,325.061,10.8696,10.9216,10,0.5
697.146,329.901,10.8696,12.1306,10,0.5
707.145,334.64,11.1111,10.9216,10,0.5
717.146,339.414,10.8696,10.9216,10,0.5
727.145,344.153,11.1111,10.9216,10,0.5
737.144,348.945,11.3636,9.1866,10,0.5
747.186,353.616,5.81395,9.3288,10,0.5
757.145,358.313,11.1111,8.1162,10,0.5
767.146,362.939,10.8696,8.3528,10,0.5
777.218,367.778,4.23729,6.14113,10,0.5
787.253,372.532,3.26797,5.80105,10,0.5
797.255,377.195,3.22581,6.15975,10,0.5
