simTime,realTime,result,prediction,deltaT,payload
4.82393,2.32749,2.23285,9.2666,10,0.5
14.8239,7.02392,2.23285,9.2666,10,0.5
24.9179,11.825,1.57267,8.6966,10,0.5
36.0749,17.1859,0.338999,5.9076,10,0.5
44.8249,21.255,2.22291,6.1081,10,0.5
54.8239,25.995,2.23285,5.8221,10,0.5
64.7699,30.606,2.94241,6.9711,10,0.5
74.7229,35.3882,4.06735,8.8481,10,0.5
84.8249,40.2095,2.22292,5.67377,10,0.5
95.1089,45.1111,0.982455,8.1271,10,0.5
105.112,50.1133,0.976698,9.4691,10,0.5
115.113,54.8493,0.974794,9.4691,10,0.5
125.115,59.5846,0.971008,9.4691,10,0.5
135.115,64.3244,0.971008,9.4691,10,0.5
157.524,75.1659,0.0386879,5.67377,10,0.5
158.342,75.6658,0.133621,7.9481,10,0.5
165.121,78.9152,0.959824,9.6651,10,0.5
174.922,83.7433,1.55314,10.2431,10,0.5
184.921,88.4547,1.55797,8.8481,10,0.5
195.438,93.6287,0.596709,9.6651,10,0.5
205.122,98.3029,0.957985,9.2666,10,0.5
214.921,102.847,1.55798,10.2431,10,0.5
224.826,107.357,2.21309,10.4101,10,0.5
234.77,111.87,2.94241,10.4607,10,0.5
244.738,116.735,3.62506,8.22275,10,0.5
254.738,121.602,3.62506,10.4101,10,0.5
264.77,126.394,2.94238,8.8167,10,0.5
274.65,131.06,10.014,10.0419,10,0.5
284.649,135.693,10.2183,11.8216,10,0.5
294.649,140.356,10.2183,11.8216,10,0.5
304.65,145.126,10.014,10.0419,10,0.5
314.771,150.072,2.92517,8.8167,10,0.5
324.739,154.807,3.59896,10.2347,10,0.5
334.826,159.601,2.21307,10.4101,10,0.5
344.649,164.297,10.2186,8.2455,10,0.5
354.642,168.929,11.9244,8.7345,10,0.5
365.117,173.893,0.967251,5.9076,10,0.5
375.117,178.494,0.967251,5.9076,10,0.5
385.117,183.22,0.967251,5.9076,10,0.5
448.862,213.431,0.00921456,5.9076,10,0.5
449.161,213.607,0.0112206,6.203,10,0.5
449.461,213.79,0.0143427,5.73417,10,0.5
449.76,213.973,0.0198729,7.3845,10,0.5
450.06,214.157,0.0323417,9.8465,10,0.5
450.359,214.343,0.0868217,9.5725,10,0.5
454.913,216.597,1.59781,8.0855,10,0.5
464.921,221.393,1.55798,8.29275,10,0.5
474.921,226.192,1.55797,8.5115,10,0.5
484.919,230.971,1.56775,8.8167,10,0.5
494.77,235.629,2.94241,9.5825,10,0.5
504.825,240.559,2.22292,10.524,10,0.5
514.723,245.164,4.06735,8.2455,10,0.5
524.65,249.866,10.0142,11.8216,10,0.5
534.648,254.633,10.4315,11.8216,10,0.5
544.648,259.337,10.4315,11.8216,10,0.5
554.65,264.192,10.0138,10.6717,10,0.5
564.649,268.955,10.2186,11.8216,10,0.5
574.649,273.761,10.2183,11.8216,10,0.5
584.649,278.374,10.2185,10.6717,10,0.5
594.65,282.986,10.014,10.6717,10,0.5
604.722,303.254,4.10071,8.7345,10,0.5
614.823,307.985,2.24285,10.524,10,0.5
624.769,312.792,2.9598,9.69683,10,0.5
634.918,317.724,1.57268,8.4757,10,0.5
662.263,330.782,0.0283079,8.8167,10,0.5
663.086,331.305,0.0589211,10.67,10,0.5
665.44,332.515,0.595288,7.416,10,0.5
674.661,336.996,8.2061,12.0109,10,0.5
684.656,341.645,8.9396,10.0419,10,0.5
