simTime,realTime,result,prediction,deltaT,payload
78.4,0.010405,24.9969,25.8439,102,5.1
89.4,0.01162,12.9303,9.06345,11,0.55
100.4,0.013082,13.7399,11.4646,11,0.55
116.4,0.014671,17.4153,15.7296,16,0.8
126.4,0.015741,9.21519,10.495,10,0.5
136.4,0.017072,15.2232,9.76686,10,0.5
198.4,0.026161,22.2175,24.7266,62,3.1
209.4,0.027452,10.1007,10.1559,11,0.55
219.4,0.02895,8.37059,9.81823,10,0.5
246.4,0.03178,20.0321,18.6599,27,1.35
256.4,0.033104,11.4253,10.985,10,0.5
270.4,0.035297,17.2754,14.137,14,0.7
280.4,0.036404,17.6788,9.76686,10,0.5
290.4,0.037411,11.9005,10.2937,10,0.5
301.4,0.038518,14.4389,9.92278,11,0.55
379.4,0.04945,25.7467,26.5841,78,3.9
391.4,0.050892,6.48347,11.4133,12,0.6
401.4,0.051976,12.35,10.3947,10,0.5
522.4,0.074823,25.3339,27.3408,121,6.05
534.4,0.076717,1.6207,12.2659,12,0.6
546.4,0.078652,9.15527,12.5071,12,0.6
575.4,0.084706,21.3973,18.0458,29,1.45
696.4,0.101557,30.098,28.1883,121,6.05
707.4,0.103088,13.3622,12.2237,11,0.55
717.4,0.104528,14.1838,10.7319,10,0.5
734.4,0.107224,13.4578,14.4152,17,0.85
751.4,0.109351,12.83,13.8586,17,0.85
774.4,0.113187,12.9391,15.9511,23,1.15
787.4,0.114968,6.5967,12.4805,13,0.65
