simTime,realTime,result,prediction,deltaT,payload
0.2,0.000171,12.3986,9.01124,10,0.5
10.2,0.002557,3.10339,8.08728,10,0.5
20.2,0.004703,8.56983,8.09976,10,0.5
30.2,0.006671,6.18415,8.77638,10,0.5
40.2,0.008097,9.99649,8.08504,10,0.5
50.2,0.009884,8.32353,9.17533,10,0.5
60.2,0.011666,7.34934,8.06123,10,0.5
70.2,0.012889,7.63473,9.34619,10,0.5
80.2,0.014272,2.82624,8.19578,10,0.5
90.2,0.015866,10.0886,9.45342,10,0.5
100.2,0.017429,10.9233,9.00813,10,0.5
110.2,0.019613,6.38541,7.67282,10,0.5
120.2,0.022009,11.3732,7.64664,10,0.5
130.2,0.024683,5.76644,9.60163,10,0.5
140.2,0.027119,2.68248,7.97536,10,0.5
150.2,0.029501,6.04065,8.85427,10,0.5
160.2,0.031583,13.2548,8.58479,10,0.5
170.2,0.032655,9.1966,8.85427,10,0.5
180.2,0.034013,10.2354,8.76878,10,0.5
190.2,0.035678,9.91479,8.59877,10,0.5
200.2,0.037052,9.12286,8.52063,10,0.5
210.2,0.038367,7.05867,8.34944,10,0.5
220.2,0.039758,7.85589,11.05,10,0.5
230.2,0.041155,7.8425,8.3124,10,0.5
240.2,0.042508,9,8.07589,10,0.5
250.2,0.043804,5.7178,8.46958,10,0.5
260.2,0.045219,9.86918,9.74392,10,0.5
271.2,0.046744,6.58687,9.61575,11,0.55
281.2,0.048017,15.4401,8.93188,10,0.5
291.2,0.049273,6.50158,8.85488,10,0.5
301.2,0.050487,8.84527,9.00367,10,0.5
311.2,0.051995,8.57625,8.35779,10,0.5
321.2,0.053257,9.09773,7.84415,10,0.5
331.2,0.054882,6.8788,8.65327,10,0.5
341.2,0.056618,4.59671,9.57019,10,0.5
351.2,0.058055,17.3773,9.57019,10,0.5
361.2,0.059414,7.22102,8.53168,10,0.5
371.2,0.060814,12.1396,9.132,10,0.5
381.2,0.062197,7.73087,7.48227,10,0.5
391.2,0.063731,9.33194,8.7694,10,0.5
401.2,0.065121,13.2124,8.89694,10,0.5
411.2,0.067037,11.2026,9.47576,10,0.5
421.2,0.06854,7.44134,8.68648,10,0.5
431.2,0.069682,13.3926,9.01926,10,0.5
441.2,0.07108,8.12609,7.76778,10,0.5
451.2,0.072535,12.1971,7.98685,10,0.5
461.2,0.073894,12.1637,7.60254,10,0.5
471.2,0.075569,13.102,10.801,10,0.5
481.2,0.077332,6.36878,8.914,10,0.5
492.2,0.079162,11.9499,8.71191,11,0.55
502.2,0.080889,8.20178,8.33186,10,0.5
512.2,0.082638,6.00105,8.61443,10,0.5
522.2,0.083943,8.6642,8.68709,10,0.5
532.2,0.084932,14.4134,9.20457,10,0.5
542.2,0.086112,6.62533,9.34822,10,0.5
552.2,0.087168,12.617,8.37888,10,0.5
562.2,0.088073,5.60655,8.37888,10,0.5
572.2,0.089086,9.65208,7.93317,10,0.5
582.2,0.090253,10.0662,9.6566,10,0.5
592.2,0.091489,8.80776,8.83273,10,0.5
602.2,15.2111,11.1645,7.64357,10,0.5
612.2,15.2119,5.0938,8.89686,10,0.5
622.2,15.2127,11.7595,7.48843,10,0.5
632.2,15.2141,7.0504,8.39858,10,0.5
642.2,15.2159,14.4534,8.35574,10,0.5
652.2,15.2175,2.58933,8.5529,10,0.5
662.2,15.2189,10.8233,9.67519,10,0.5
672.2,15.2201,10.2543,9.04016,10,0.5
682.2,15.2211,8.182,8.51279,10,0.5
692.2,15.222,5.62451,8.73444,10,0.5
