simTime,realTime,result,prediction,deltaT,payload
8.3,0.002014,3.57181,8.08728,10,0.5
18.3,0.004131,5.46522,7.89752,10,0.5
28.3,0.006079,8.98108,8.13099,10,0.5
38.3,0.007538,9.72924,8.08504,10,0.5
48.3,0.008802,6.98441,8.22803,10,0.5
58.3,0.010075,10.8216,7.77,10,0.5
68.3,0.011279,9.99763,9.34619,10,0.5
78.3,0.01276,9.21559,8.43914,10,0.5
88.3,0.014209,7.65853,9.57043,10,0.5
98.3,0.015749,4.48426,8.55019,10,0.5
108.3,0.01731,6.5685,7.67282,10,0.5
118.3,0.019598,0,7.46128,10,0.5
128.3,0.021158,11.6406,8.43656,10,0.5
138.3,0.022761,5.62534,7.95356,10,0.5
148.3,0.024059,12.9379,8.21215,10,0.5
158.3,0.02531,7.66855,8.36336,10,0.5
168.3,0.026743,8.11673,9.50047,10,0.5
178.3,0.027629,9.08285,9.86867,10,0.5
188.3,0.028946,11.8203,9.50083,10,0.5
198.3,0.029959,9.25427,9.26588,10,0.5
208.3,0.030848,6.53834,8.43245,10,0.5
218.3,0.032093,5.32605,9.33931,10,0.5
228.3,0.033565,0.866585,7.96846,10,0.5
238.3,0.034919,11.5597,8.07589,10,0.5
248.3,0.036175,10.574,8.46958,10,0.5
258.3,0.037296,6.10209,8.67616,10,0.5
268.3,0.038264,10.5923,8.7681,10,0.5
278.3,0.040014,0.315042,7.84017,10,0.5
288.3,0.041672,9.3962,9.44448,10,0.5
298.3,0.042533,5.008,7.89786,10,0.5
308.3,0.04412,13.4643,8.00119,10,0.5
318.3,0.045323,9.05171,8.4689,10,0.5
328.3,0.046756,8.94435,8.70431,10,0.5
338.3,0.048315,4.9148,9.25467,10,0.5
348.3,0.049944,12.4128,9.57019,10,0.5
358.3,0.051377,10.7938,9.29959,10,0.5
368.3,0.052347,8.86255,8.39477,10,0.5
378.3,0.053254,11.863,8.01014,10,0.5
388.3,0.054283,4.54793,8.49866,10,0.5
398.3,0.055622,10.4312,9.07979,10,0.5
408.3,0.058288,11.9243,9.41043,10,0.5
418.3,0.059612,3.65167,8.25429,10,0.5
428.3,0.060678,8.16966,8.52624,10,0.5
438.3,0.061603,6.07107,8.30733,10,0.5
448.3,0.062931,11.6218,8.2017,10,0.5
458.3,0.064244,7.45968,7.99366,10,0.5
468.3,0.065646,10.9695,10.801,10,0.5
478.3,0.066936,2.52641,8.914,10,0.5
488.3,0.068229,7.75788,8.30508,10,0.5
498.3,0.069225,15.2888,7.56469,10,0.5
508.3,0.070231,11.322,9.10793,10,0.5
518.3,0.071432,1.44403,8.72116,10,0.5
528.3,0.072451,12.9774,8.52838,10,0.5
538.3,0.073498,10.0678,9.75522,10,0.5
548.3,0.074884,5.15784,9.03798,10,0.5
558.3,0.075913,6.58683,8.37888,10,0.5
568.3,0.077005,7.68788,8.89491,10,0.5
578.3,0.077966,7.80797,8.57658,10,0.5
588.3,0.078842,0.578814,7.31221,10,0.5
598.3,15.5479,6.57578,7.79563,10,0.5
608.3,15.549,3.09331,7.80128,10,0.5
618.3,15.5498,7.40913,7.81039,10,0.5
628.3,15.5511,13.2083,7.17552,10,0.5
638.3,15.5532,11.9383,8.94053,10,0.5
648.3,15.5553,8.55098,8.86226,10,0.5
658.3,15.5571,6.33381,8.66629,10,0.5
668.3,15.5587,5.031,8.3796,10,0.5
678.3,15.5601,3.29821,8.92203,10,0.5
688.3,15.561,9.86588,9.49143,10,0.5
