simTime,realTime,result,prediction,deltaT,payload
90.7299,42.4935,3.13483,16.8755,121,6.05
211.617,99.3353,3.32979,17.322,121,6.05
272.02,127.706,14.0953,24.2868,62,3.1
281.843,132.237,11.6472,8.36739,10,0.5
291.843,136.835,11.6472,9.82994,10,0.5
301.843,141.564,11.6472,9.04339,10,0.5
342.932,161.201,15.5384,16.996,41,2.05
352.842,165.878,11.9246,9.82994,10,0.5
477.472,225.251,1.64764,12.386,121,6.05
515.937,243.684,15.3363,16.938,42,2.1
525.842,248.338,11.9246,8.36739,10,0.5
535.842,253.127,11.9246,10.0419,10,0.5
545.842,257.789,11.9246,7.91567,10,0.5
555.842,262.509,11.9246,8.09367,10,0.5
565.842,267.27,11.9246,9.04339,10,0.5
575.842,271.884,11.9246,8.6716,10,0.5
585.842,276.556,11.9246,7.80067,10,0.5
595.842,296.753,11.9246,7.90245,10,0.5
666.02,329.678,15.9141,19.8583,70,3.5
677.848,335.292,12.5183,8.56779,12,0.6
