0.277200,40.060100
0.000000,3.960459,4.527338,12.833878
0.505051,3.596548,4.370492,12.162556
1.010101,3.316571,4.245194,11.636998
1.515152,3.124810,4.148989,11.256680
2.020202,3.023929,4.078322,11.017292
2.525253,3.014868,4.028955,10.911475
3.030303,3.096785,3.996437,10.929658
3.535354,3.267048,3.976507,11.060860
4.040404,3.521306,3.965399,11.293344
4.545455,3.853599,3.960012,11.615080
5.050505,4.256541,3.957977,12.014033
5.555556,4.721552,3.957614,12.478332
6.060606,5.239129,3.957845,12.996363
6.565657,5.799163,3.958070,13.556837
7.070707,6.391270,3.958028,14.148862
7.575758,7.005136,3.957684,14.762054
8.080808,7.630858,3.957118,15.386667
8.585859,8.259264,3.956453,16.013770
9.090909,8.882199,3.955805,16.635434
9.595960,9.492768,3.955254,17.244923
10.101010,10.085521,3.954841,17.836868
10.606061,10.656575,3.954573,18.407395
11.111111,11.203660,3.954431,18.954202
11.616162,11.726107,3.954386,19.476561
12.121212,12.224748,3.954411,19.975251
12.626263,12.701768,3.954481,20.452408
13.131313,13.160492,3.954580,20.911326
13.636364,13.605131,3.954697,21.356195
14.141414,14.040494,3.954823,21.791806
14.646465,14.471687,3.954951,22.223248
15.151515,14.903811,3.955068,22.655601
15.656566,15.341673,3.955161,23.093645
16.161616,15.789531,3.955216,23.541612
16.666667,16.250880,3.955221,24.002972
17.171717,16.728289,3.955170,24.480279
17.676768,17.223296,3.955060,24.975072
18.181818,17.736376,3.954902,25.487840
18.686869,18.266958,3.954708,26.018042
19.191919,18.813513,3.954498,26.564187
19.696970,19.373692,3.954293,27.123964
20.202020,19.944499,3.954112,27.694417
20.707071,20.522506,3.953969,28.272142
21.212121,21.104076,3.953869,28.853518
21.717172,21.685596,3.953814,29.434929
22.222222,22.263690,3.953795,30.012985
22.727273,22.835413,3.953802,30.584722
23.232323,23.398410,3.953824,31.147763
23.737374,23.951029,3.953853,31.700437
24.242424,24.492375,3.953886,32.241849
24.747475,25.022326,3.953931,32.771888
25.252525,25.541483,3.954000,33.291180
25.757576,26.051071,3.954112,33.800987
26.262626,26.552805,3.954285,34.303061
26.767677,27.048711,3.954533,34.799454
27.272727,27.540932,3.954858,35.292311
27.777778,28.031515,3.955250,35.783663
28.282828,28.522202,3.955695,36.275222
28.787879,29.014234,3.956189,36.768221
29.292929,29.508180,3.956768,37.263302
29.797980,30.003794,3.957560,37.760470
30.303030,30.499921,3.958850,38.259124
30.808081,30.994442,3.961159,38.758171
31.313131,31.484275,3.965340,39.256198
31.818182,31.965421,3.972669,39.751710
32.323232,32.433060,3.984928,40.243375
32.828283,32.881683,4.004450,40.730262
33.333333,33.305269,4.034120,41.212000
33.838384,33.697479,4.077291,41.688822
34.343434,34.051873,4.137616,42.161451
34.848485,34.362134,4.218790,42.630811
35.353535,34.622288,4.324225,43.097614
35.858586,34.826912,4.456697,43.561878
36.363636,34.971327,4.618033,44.022505
36.868687,35.051752,4.808894,44.477011
37.373737,35.065440,5.028689,44.921489
37.878788,35.010765,5.275620,45.350791
38.383838,34.887274,5.546849,45.758898
38.888889,34.695699,5.838717,46.139374
39.393939,34.437935,6.147002,46.485837
39.898990,34.116975,6.467162,46.792380
40.404040,33.736816,6.794558,47.053905
40.909091,33.302345,7.124631,47.266365
41.414141,32.819197,7.453052,47.426911
41.919192,32.293599,7.775834,47.533954
42.424242,31.732210,8.089412,47.587167
42.929293,31.141956,8.390701,47.587427
43.434343,30.529864,8.677127,47.536720
43.939394,29.902916,8.946642,47.438012
44.444444,29.267899,9.197723,47.295105
44.949495,28.631287,9.429349,47.112472
45.454545,27.999127,9.640977,46.895094
45.959596,27.376956,9.832495,46.648292
46.464646,26.769734,10.004180,46.377565
46.969697,26.181793,10.156638,46.088439
47.474747,25.616817,10.290755,45.786326
47.979798,25.077827,10.407630,45.476408
48.484848,24.567196,10.508524,45.163524
48.989899,24.086665,10.594802,44.852096
49.494949,23.637384,10.667887,44.546058
50.000000,23.219955,10.729210,44.248819
