simTime,realTime,result,prediction,deltaT,payload
31.5319,15.5247,1.00559,19.057,65,3.25
75.6919,36.9892,1.65238,17.9435,46,2.3
223.823,111.504,0.16046,17.257,114,5.7
239.864,119.387,4.52184,19.8847,51,2.55
272.41,135.81,15.0095,23.4797,33,1.65
305.41,152.258,15.0095,23.508,33,1.65
344.426,171.399,15.4846,23.7377,39,1.95
375.494,186.872,7.99257,19.8195,31,1.55
411.753,204.198,3.97413,19.796,36,1.8
490.598,243.22,0.0623266,19.1025,44,2.2
508.496,252.486,0.782245,22.607,50,2.5
535.403,265.418,14.5729,23.7377,30,1.5
566.404,279.894,14.9137,24.904,31,1.55
598.407,310.268,14.9629,24.904,32,1.6
667.983,343.235,0.0599692,17.9435,38,1.9
676.453,347.209,13.0778,22.1764,40,2
