simTime,realTime,result,prediction,deltaT,payload
100.966,48.0766,16.2568,17.594,119,5.95
221.974,105.25,16.1765,7.74767,121,6.05
346.458,164.584,1.56817,10.5847,121,6.05
446.317,212.453,7.18271,10.3292,103,5.15
566.973,270.92,16.2198,9.528,121,6.05
687.972,328.594,16.2634,15.0652,121,6.05
