simTime,realTime,result,prediction,deltaT,payload
33.9819,15.8591,4.54592,12.193,62,3.1
86.4679,40.282,15.7803,25.1838,53,2.65
120.412,55.9791,15.188,22.7594,34,1.7
205.313,95.2368,4.14639,16.0005,84,4.2
235.403,109.69,15.0586,25.27,31,1.55
268.409,125.381,15.1472,22.2024,33,1.65
354.759,167.087,0.619298,14.0515,80,4
364.056,171.642,0.992157,10.0675,15,0.75
404.432,189.906,15.5384,23.537,41,2.05
542.104,253.241,0.360035,13.528,121,6.05
568.441,265.704,15.2557,22.7594,43,2.15
624.778,291.402,5.85861,20.537,56,2.8
671.45,312.59,15.674,24.737,47,2.35
706.415,328.526,15.2267,23.9745,35,1.75
724.365,336.763,13.861,16.4347,18,0.9
756.406,351.425,15.1042,23.7377,32,1.6
795.452,370.053,1.64941,18.53,38,1.9
