simTime,realTime,result,prediction,deltaT,payload
45.4249,21.9337,0.618794,20.4137,56,2.8
59.9939,28.8806,0.405935,12.5695,17,0.85
182.579,88.3535,0.30262,17.145,107,5.35
212.886,102.804,2.38354,12.0715,47,2.35
271.258,130.991,8.24183,17.071,59,2.95
302.003,145.681,15.0586,24.262,31,1.55
350.053,168.582,15.6934,23.7377,48,2.4
399.32,191.848,5.83431,19.8385,49,2.45
493.078,237.206,0.282129,17.6073,80,4
516.026,247.947,14.6908,22.3504,37,1.85
555.059,266.884,12.2695,24.551,39,1.95
567.951,273.311,12.7623,12.0109,13,0.65
599.004,303.847,14.9137,24.297,31,1.55
670.592,337.21,0.0631075,15.7515,40,2
677.044,340.281,13.2009,22.1764,38,1.9
