simTime,realTime,result,prediction,deltaT,payload
56.4,0.010399,18.3328,20.0754,62,3.1
120.4,0.018435,20.644,22.8716,64,3.2
182.4,0.026127,15.2322,17.9275,62,3.1
246.4,0.033701,24.8311,23.9663,64,3.2
292.4,0.037887,21.7711,17.844,46,2.3
324.4,0.040878,15.1603,17.7978,32,1.6
350.4,0.043945,20.0513,18.3712,26,1.3
368.4,0.04584,12.3859,13.3966,18,0.9
458.4,0.057211,23.3438,24.5372,90,4.5
512.4,0.062937,25.6079,21.9067,54,2.7
549.4,0.067605,16.2856,20.4265,37,1.85
592.4,0.071874,26.8288,23.3286,43,2.15
631.4,15.2012,20.9946,16.2336,39,1.95
669.4,15.2072,16.6794,17.8287,38,1.9
