simTime,realTime,result,prediction,deltaT,payload
4.9,0.000794,16.4668,15.351,51,2.55
75.9,0.010314,21.2043,25.3105,71,3.55
95.9,0.012387,17.2868,13.8315,20,1
121.9,0.014849,19.602,18.0907,26,1.3
148.9,0.018336,21.1009,18.1113,27,1.35
184.9,0.022883,11.8747,17.559,36,1.8
213.9,0.025937,22.6912,20.247,29,1.45
236.9,0.030315,11.6463,16.3629,23,1.15
279.9,0.036134,23.3567,24.5849,43,2.15
309.9,0.039452,19.3272,18.1828,30,1.5
377.9,0.050079,33.4432,26.9311,68,3.4
421.9,0.05971,21.3947,24.6116,44,2.2
479.9,0.069593,15.9719,19.7047,58,2.9
501.9,0.07246,19.7892,21.3483,22,1.1
554.9,0.080705,24.6838,24.425,53,2.65
600.9,0.087842,23.6446,22.7565,46,2.3
643.9,0.093035,18.7392,19.1645,43,2.15
653.9,0.094315,5.20399,8.2281,10,0.5
680.9,0.098287,15.6564,18.8492,27,1.35
706.9,0.101266,17.4581,19.4217,26,1.3
748.9,0.106488,26.7881,23.6965,42,2.1
780.9,0.111293,19.435,19.8555,32,1.6
