simTime,realTime,result,prediction,deltaT,payload
72.9,0.009053,23.1871,23.0497,84,4.2
113.9,0.013017,26.918,24.6973,41,2.05
150.9,0.017238,18.4112,17.3044,37,1.85
180.9,0.020138,19.6085,17.559,30,1.5
211.9,0.025255,20.2022,19.462,31,1.55
247.9,0.029366,18.6752,21.1967,36,1.8
278.9,0.033804,20.4197,18.465,31,1.55
316.9,0.037467,10.9672,17.9665,38,1.9
354.9,0.043519,15.7857,15.1583,38,1.9
377.9,0.047206,11.0287,15.7803,23,1.15
401.9,0.049692,11.1933,15.7605,24,1.2
426.9,0.057264,12.9341,16.5447,25,1.25
483.9,0.065814,22.8679,23.7014,57,2.85
544.9,0.073761,28.4647,25.1669,61,3.05
565.9,0.0763,15.026,14.1074,21,1.05
597.9,0.080101,13.4329,17.2793,32,1.6
621.9,0.082441,13.4181,16.6476,24,1.2
677.9,0.088681,19.561,21.264,56,2.8
710.9,0.092412,22.3055,19.2076,33,1.65
731.9,0.094694,17.1292,15.7731,21,1.05
765.9,0.101177,22.0076,18.4519,34,1.7
